no,line_num,staff,transport_pop,income
1,1,20,21058641,12345445356
2,1,15,10736607,6114127939
3,1,17,17577288,9744965681
4,1,14,11967184,5305851790
5,1,17,12044019,4493640173
6,1,16,5839267,2627841895
7,1,15,6866116,3182183476
8,1,15,9424656,2828724428
9,1,17,10925868,3510014156
10,1,17,5107915,1537961742
11,2,13,9527364,6480179325
12,2,19,16808946,11181974627
13,2,13,9178172,5934177509
14,2,13,5237829,3049710002
15,2,15,5086460,3353679125
16,2,13,6230635,3534940538
17,2,13,6347850,3830683572
18,2,15,6577456,4630731348
19,2,13,3424822,2179222387
20,2,13,10296685,6606169382
21,2,18,16687939,10342244379
22,2,16,14580349,10799577343
23,2,14,9867733,6730222596
24,2,15,12831075,9110303750
25,2,14,5924473,3914575145
26,2,22,27893250,19584107807
27,2,12,8786988,5865202502
28,2,14,3332755,1837031386
29,2,21,20998554,14904246839
30,2,16,21304573,14781514487
31,2,17,21307745,13782446104
32,2,22,34246003,24791760902
33,2,15,13621005,8781975321
34,2,12,8723618,5744975644
35,2,13,6898490,4290346703
36,2,18,15126965,9799801977
37,2,13,11780353,7893286841
38,2,17,20312308,13110028724
39,2,13,10017301,6615519441
40,2,18,27308879,17236628305
41,2,12,11653829,7445688086
42,2,18,25976031,16087483039
43,2,14,10466823,7167361872
44,2,22,22522762,12928898378
45,2,13,9531845,5803747390
46,2,12,9662782,6307290665
47,2,13,8148926,4933078293
48,2,15,14118297,9557837995
49,2,22,26328625,17034189958
50,2,17,15095926,9640621373
51,2,12,5884184,3823581822
52,2,13,4495340,2608985958
53,2,13,4111027,2679155470
54,2,8,1146649,749977979
55,2,9,597860,396053222
56,2,10,1644862,811268323
57,2,9,670944,356357651
58,2,13,3239930,1805091902
59,2,13,4904468,2581740380
60,2,11,968968,517315251
61,3,8,1996641,1203168254
62,3,16,9858006,5604174698
63,3,16,16852792,9346893482
64,3,13,7692333,4098818524
65,3,13,6627604,3745054098
66,3,13,8045904,3934614101
67,3,12,1854940,1034601566
68,3,13,3350467,1600320158
69,3,13,9228096,5443944109
70,3,14,9437273,5599133921
71,3,17,4860774,2566240644
72,3,12,4181713,2749574037
73,3,13,4035296,2321856259
74,3,13,5769645,3377386705
75,3,13,3725561,2042551971
76,3,13,4481559,2277537736
77,3,17,16191260,9104032842
78,3,15,15959596,9737771678
79,3,13,2266330,1295493455
80,3,21,20039386,13108145219
81,3,13,5463550,3810071293
82,3,15,15025439,8553481507
83,3,18,18997009,10243050801
84,3,13,5971536,3210317553
85,3,13,2512775,1455253018
86,3,12,5116824,2927358866
87,3,14,1003549,546959867
88,3,13,4395368,2578878566
89,3,13,4530386,2577171205
90,3,13,7964703,4371860700
91,3,0,3900863,2188816070
92,3,13,3571324,2102498018
93,3,17,2560727,1612583456
94,4,16,5492733,3426441610
95,4,13,8515553,5123923080
96,4,13,8125282,5239205040
97,4,16,12544629,6578295963
98,4,12,13365684,7425962948
99,4,17,15938202,8660531973
100,4,13,6804308,3834305815
101,4,15,12724574,6583930608
102,4,13,9188739,4793365777
103,4,13,9195839,5450154738
104,4,13,6562120,3504240113
105,4,18,15648146,9264679850
106,4,17,9269572,4767677638
107,4,17,5759050,4263303833
108,4,21,11268910,6966752860
109,4,17,8862733,5482942404
110,4,17,11675769,5864348853
111,4,16,5814751,2889241870
112,4,13,5973025,3483426853
113,4,13,2298423,1404120254
114,4,13,7541166,4598683704
115,4,13,3890060,1963140577
116,4,10,1351697,523930679
117,4,13,10387459,4747316796
118,4,21,10770524,7074461731
119,4,9,617650,330464763
120,5,12,2994873,1945298050
121,5,10,2403087,1569134543
122,5,14,3319568,2523948609
123,5,10,2754648,1776399307
124,5,10,4226806,3057101118
125,5,12,8441353,5739778573
126,5,10,6170488,3864252807
127,5,14,12269583,7673491553
128,5,14,13594835,8012605340
129,5,10,5723148,3573464600
130,5,10,7759881,4405269845
131,5,13,10272273,6440560450
132,5,10,3178666,2174149403
133,5,9,1467601,1035045994
134,5,9,4181853,2651056375
135,5,10,1736508,1265537385
136,5,13,11764712,8177045212
137,5,10,5715815,3482238409
138,5,11,6620402,3971893951
139,5,18,6072845,4062956297
140,5,10,3076556,1881374641
141,5,9,1974963,1370829940
142,5,10,8037088,5134885424
143,5,18,12622385,8994476954
144,5,12,5228706,3361271588
145,5,9,2141103,1419343513
146,5,10,1172275,820285643
147,5,11,1650647,1077132640
148,5,10,2993263,1673369176
149,5,10,3704975,2215094980
150,5,13,1744188,1208892199
151,5,10,2496529,1458677783
152,5,11,7478480,4219465485
153,5,11,9067370,4652130134
154,5,14,4983276,3650842274
155,5,10,7039403,4009973880
156,5,10,5713016,3575473523
157,5,14,7995832,5157880177
158,5,14,8833725,5349173224
159,5,10,3749318,2108538488
160,5,10,4337739,2724560764
161,5,10,3876949,2292174562
162,5,10,4096530,2604843162
163,5,13,7077673,4347822961
164,5,10,4103333,2315189704
165,5,10,1875890,1073138565
166,5,10,3216999,1940700335
167,5,0,1495506,1032168415
168,5,10,2987777,1727576837
169,5,10,3941604,2293990248
170,5,10,3117774,1742197384
171,5,9,1220894,712323416
172,5,12,6755326,4968165467
173,5,12,1865970,1327460049
174,5,10,1883306,1227518962
175,5,14,1775404,1228919873
176,6,12,8607893,4628026609
177,6,10,1910116,1007425015
178,6,9,1918391,1087587073
179,6,9,1371057,752626725
180,6,10,3366023,2025986407
181,6,11,6067000,3102212013
182,6,10,4892607,2654790398
183,6,14,6476132,3274957664
184,6,13,2301698,962134488
185,6,11,6455998,3865909779
186,6,9,7208478,3994090174
187,6,13,5208812,3817470616
188,6,11,4123856,2587302078
189,6,10,3878500,2256989267
190,6,10,3723990,2125469791
