지역,연도,월,확진자,사망자,데이터기준일자
평창군,2020,7,4,0,2022-09-14
평창군,2020,8,1,0,2022-09-14
평창군,2020,9,0,0,2022-09-14
평창군,2020,10,0,0,2022-09-14
평창군,2020,11,3,0,2022-09-14
평창군,2020,12,20,0,2022-09-14
평창군,2021,1,14,0,2022-09-14
평창군,2021,2,1,0,2022-09-14
평창군,2021,3,86,0,2022-09-14
평창군,2021,4,24,0,2022-09-14
평창군,2021,5,27,0,2022-09-14
평창군,2021,6,6,0,2022-09-14
평창군,2021,7,10,0,2022-09-14
평창군,2021,8,5,0,2022-09-14
평창군,2021,9,16,0,2022-09-14
평창군,2021,10,16,0,2022-09-14
평창군,2021,11,12,0,2022-09-14
평창군,2021,12,48,0,2022-09-14
평창군,2022,1,68,1,2022-09-14
평창군,2022,2,939,0,2022-09-14
평창군,2022,3,5642,15,2022-09-14
평창군,2022,4,2462,7,2022-09-14
평창군,2022,5,524,0,2022-09-14
평창군,2022,6,43,0,2022-09-14
평창군,2022,7,543,0,2022-09-14
평창군,2022,8,1772,1,2022-09-14
